clause_text,clause_type,domain
"Likewise, You may not target or solicit customers for Products by advertising in other Franchisees respective Exclusive Territories.",Non-Compete,Original Corporate
"W2E agrees not to engage in business dealings, discussions, or otherwise work directly with any third parties introduced to W2E  through SHBV, or to exploit any pre-existing relationship of SHBV with any third party that has been represented to W2E by SHBV,  without the prior consent and/or direct participation of SHBV.",Non-Compete,Original Corporate
"During the probation period, either party may terminate employment by giving 15 days' notice.",Notice Period / Termination,Employment
"Neither party shall, during the term of this Agreement and for one (1) year after its termination, solicit for hire as an employee, consultant or otherwise any of the other party's personnel who have had direct involvement with the Services, without such other party's express written consent, which shall not be unreasonably withheld.",Non-Compete,Original Corporate
"The parties submit to the exclusive jurisdiction of the competent courts located within the city of Pune, India.",Jurisdiction & Venue,General
"On or before the Launch Date, each party shall grant the other party a non-exclusive, non-transferable, revocable right to use their approved Marks, for the sole purpose of advertising, marketing, promotion and sale of the Co-Branded Service.",License Grant,Original Corporate
"If Vyera acquires any rights in the Trademarks, by operation of Applicable Law, or otherwise, such rights shall be deemed and are hereby irrevocably assigned to CytoDyn without further action by either Party.",Intellectual Property,Original Corporate
"This Supply Agreement shall commence on the Effective Date, and shall continue for a period of [***] unless terminated earlier in accordance with the terms of this Supply Agreement.",Notice Period / Termination,Original Corporate
"In no event shall either party be liable to the other for indirect, special, or consequential damages.",Limitation of Liability,General
This Agreement shall become effective on the Effective Date and shall       continue for a period of three (3) years unless terminated as provided in       Section 5.0.,Notice Period / Termination,Original Corporate
"EXCEPT WITH RESPECT TO LICENSEE'S INDEMNIFICATION OBLIGATIONS UNDER SECTION 7, NEITHER PARTY WILL BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES (INCLUDING LOST PROFITS OR GOODWILL, BUSINESS",Limitation of Liability,Original Corporate
"By  requiring insurance herein, the Sponsor does not represent that coverage limits will necessarily be adequate to protect Racing.",Other Corporate,Original Corporate
"ENERGOUS may, at any time after the third anniversary of the Effective Date, terminate this Agreement with or without cause upon not less than one hundred and eighty (180) days prior written notice to DIALOG.",Notice Period / Termination,Original Corporate
All legal relationships between the parties shall be subject to the laws of the Republic of India.,Governing Law,General
"In no event shall either party be liable to the other for indirect, special, or consequential damages.",Limitation of Liability,General
"Nantz Communications and Nantz expressly agree that the Endorsement will not be granted to anyone other than the Company for use during the Term in connection with the advertisement and promotion of sportswear apparel, hats and shoes.",Exclusivity,Original Corporate
"For a period of 1 year post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
"For a period of 1 year post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
"Except with respect to any claim or liability arising from an infringement of any third party intellectual property right, in no event shall either party be liable for any special, indirect, consequential, punitive or incidental damages of any kind.",Limitation of Liability,Original Corporate
"For a period of 1 year post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
"The Tenant shall pay a refundable security deposit of Rs. 198,000 before taking possession of the premises.",Security Deposit,Rental
"The Landlord shall be responsible for major structural repairs, while routine maintenance shall be borne by the Tenant.",Maintenance & Utilities,Rental
"Upon the expiration of the Term, the Term shall automatically extend for successive 12-month periods until one Party terminates the Agreement by providing at least 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.",Notice Period / Termination,Original Corporate
Distributor may not sell or license Products directly to end use customers without the express written consent of NETGEAR.,Non-Compete,Original Corporate
"The term of this Agreement shall commence on January 10th, 2019 and shall expire on the day that is twenty-four (24) months from that date (the ""Term of Engagement"") unless terminated earlier in accordance with this Agreement.",Notice Period / Termination,Original Corporate
Society maintenance charges and property taxes shall be paid solely by the Landlord during the lease term.,Maintenance & Utilities,Rental
"Ono shall have the right, in accordance with this Section 2.2, to grant sublicenses under the Array Patents and Array Know-How to its Affiliates and to Third Parties, provided that Ono shall not engage a Third Party as either (i) a Sublicensee of the Product, or (ii) as a distributor of the Product, without Array's prior written consent.",License Grant,Original Corporate
"Any dispute or difference arising out of this agreement shall be referred to sole arbitration in Pune under the Arbitration and Conciliation Act, 1996.",Arbitration & Dispute Resolution,General
"Each of the foregoing parties is referred to herein as a ""Party"" and together as the ""Parties"".",Effective Date & Parties,Original Corporate
"Neither party shall be held liable for any delay or failure in performance due to acts of God, war, lockouts, or government restrictions.",Force Majeure,General
"Conformis by operation of law or by assignment by its employees or consultants; and to facilitate such assignment to Stryker,   Conformis agrees (i) to regularly ensure that its employees and consultants timely make any appropriate assignments to it of that   which constitutes Improved Stryker Background IP, and (ii) at Stryker's reasonable request, to execute and have its employees   and consultants execute, as necessary, all assignments and any other documentation necessary to perfect title in Stryker of such   Improved Stryker Background IP.",Intellectual Property,Original Corporate
"Neither party shall be held liable for any delay or failure in performance due to acts of God, war, lockouts, or government restrictions.",Force Majeure,General
"THIS REMARKETING AGREEMENT AND THE PRICING AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK, WITHOUT REGARD TO PRINCIPLES OF CONFLICTS OF LAW TO THE EXTENT THAT SUCH PRINCIPLES WOULD REQUIRE OR PERMIT THE APPLICATION OF LAWS OF ANOTHER JURISDICTION.",Governing Law,Original Corporate
"All expenses relating to the registration of this sale deed, stamp paper, and advocate fees shall be paid by the Buyer.",Stamp Duty & Registration,Property
Any legal proceedings in connection with this agreement shall be initiated only in the competent courts in Hyderabad.,Jurisdiction & Venue,General
"The Lessee agrees to pay a monthly rent of INR 18,000 net of all deductions to the Lessor.",Rent,Rental
The courts of law at Hyderabad shall have exclusive jurisdiction to try and settle any disputes arising under this deed.,Jurisdiction & Venue,General
"(c) at any time following the second (2nd) anniversary of the First Commercial Sale of the Licensed Product, for any reason or no reason, upon one hundred eighty (180) days' written notice to CytoDyn.",Notice Period / Termination,Original Corporate
The contract shall in all respects be governed by the laws of India.,Governing Law,General
"NEITHER PARTY SHALL BE ENTITLED TO RECOVER FROM THE OTHER PARTY ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL OR PUNITIVE DAMAGES IN CONNECTION WITH THIS AGREEMENT; provided however, that this Section 10.5 shall not be construed to limit (a) either Party's right to special, incidental or consequential damages for the other Party's breach of Article 8 or (b) either Party's indemnification rights or obligations under Article 11.",Limitation of Liability,Original Corporate
"Subject to Articles 5.1 and 5.2, the Parties acknowledge and agree that CERES shall have the exclusive right, with the right to grant  sublicenses to this right, to use and commercially exploit JOINT INTELLECTUAL PROPERTY (including but not limited to RELEASED  VARIETIES) and OTHER RESEARCH RESULTS for any and all uses and fields, including, but not limited to, use in the COLLABORATION  CROPS and crops other than the COLLABORATION CROPS.",License Grant,Original Corporate
"Subject to the terms and conditions hereof, Nantz      Communications grants to the Company the Endorsement throughout the world      during the Term in connection with the advertisement, promotion and sale by      the Company of Ashworth Products except in connection with Premium      Programs.",License Grant,Original Corporate
"Business Automobile Liability insurance if vehicles will be used in the performance of the Agreement with limits of at least $1,000,000 each accident for bodily injury and property damage, extending to all owned, hired, and non-owned vehicles. AT&T, its Affiliates and their directors, officers and employees shall be included as additional insureds on a primary and non-contributory basis.",Other Corporate,Original Corporate
"20th day of Friday, March 2020",Effective Date & Parties,Original Corporate
"The Employee shall receive a gross monthly salary of INR 145,000 subject to applicable tax deductions.",Salary/Compensation,Employment
All legal relationships between the parties shall be subject to the laws of the Republic of India.,Governing Law,General
Society maintenance charges and property taxes shall be paid solely by the Landlord during the lease term.,Maintenance & Utilities,Rental
"The term of this Agreement (the ""Term"") (a) shall commence on the first day of the Warranty Period for the first Bloom System to achieve Commencement of Operation and (b) shall, unless terminated earlier under Section 4.1 of this Agreement or unless extended by mutual agreement of the Parties, terminate on the date that is the last day of the Warranty Period for the last Bloom System to achieve Commencement of Operation.",Effective Date & Parties,Original Corporate
"In no event shall either party be liable to the other for indirect, special, or consequential damages.",Limitation of Liability,General
The Lessee shall use the leased premises solely for office space and commercial activities permitted by local laws.,Use of Premises,Rental
"The term of this Agreement shall commence on the Effective Date and shall continue for the longer of the first anniversary of the Effective Date or the duration of the Manufacturing and Distribution Agreement (the ""Term"").",Notice Period / Termination,Original Corporate
"The Employer agrees to pay the Employee a CTC of Rs. 57,000 per annum, paid in monthly installments.",Salary/Compensation,Employment
Vitamin Shoppe Industries Inc.,Effective Date & Parties,Original Corporate
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be Mumbai.,Arbitration & Dispute Resolution,General
"The Employee shall be on probation for a period of 3 months, extendable at the discretion of the Company.",Notice Period / Termination,Employment
"The Lessee has paid a sum of Rs. 103,000 as interest-free security deposit to the Lessor, refundable upon termination.",Security Deposit,Rental
"The Tenant shall pay electricity, water, and gas charges based on actual consumption directly to the utility providers.",Maintenance & Utilities,Rental
The Seller covenants that they have absolute clear title to the property and full legal right to convey the same.,Possession & Transfer,Property
"(2) Recruit or hire any employee who, within the immediately  preceding          six (6) month period,  was employed by Pretzel Time or any Pretzel Time          Unit operated by Pretzel Time, its Affiliates or another  franchisee or          licensee  of  Pretzel  Time,   without   obtaining  the  prior  written          permission of Pretzel Time or such franchisee.",Non-Compete,Original Corporate
The parties shall present this document for registration before the Sub-Registrar of Chennai within 60 days.,Stamp Duty & Registration,Property
"The term of this Agreement shall be fifteen (15) years from the Effective Date, unless sooner terminated in accordance with the following  provisions of this Article:",Notice Period / Termination,Original Corporate
"The Village Media Company shall have the right to sublicense (a) the production and creation of the HOFV Works and (b) Exploitation of the PFHOF Works hereunder to any of its Affiliates; provided, that, Village Media Company shall (x) cause such sublicenses to comply with all terms and conditions of this Agreement and (y) not be relieved of any of its obligations under this Agreement as a result of any such sublicense, and will be primarily responsible for any acts or omissions of such sublicensees.",License Grant,Original Corporate
"Neither party shall be held liable for any delay or failure in performance due to acts of God, war, lockouts, or government restrictions.",Force Majeure,General
"Beijing Tuniu Technology Co., Ltd.",Effective Date & Parties,Original Corporate
Any legal proceedings in connection with this agreement shall be initiated only in the competent courts in Mumbai.,Jurisdiction & Venue,General
"Neither party shall be held liable for any delay or failure in performance due to acts of God, war, lockouts, or government restrictions.",Force Majeure,General
The initial term of this Agreement and any renewal term thereof shall be automatically extended at the end of the initial term and any renewal term thereof for an additional one (1) year period unless either Party notifies the other Party not less than six (6) months before the end of the then in effect term of its intent to terminate this Agreement,Notice Period / Termination,Original Corporate
"The Stamp Duty and registration charges of INR 15,000 shall be borne entirely by the Purchaser.",Stamp Duty & Registration,Property
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be New Delhi.,Arbitration & Dispute Resolution,General
"The Employee shall receive a gross monthly salary of Rs. 189,000 subject to applicable tax deductions.",Salary/Compensation,Employment
"The Lessee agrees to pay a monthly rent of Rs. 47,000 net of all deductions to the Lessor.",Rent,Rental
"If performance is delayed by a force majeure event for more than 30 days, either party may terminate the contract.",Force Majeure,General
"The Employer agrees to pay the Employee a CTC of INR 210,000 per annum, paid in monthly installments.",Salary/Compensation,Employment
"Notwithstanding the above,  Bioamber shall be permitted to evaluate other biocatalysts, but shall not undertake development of such biocatalysts.",Exclusivity,Original Corporate
"All Joint Inventions shall be owned jointly by Theravance and GSK, and each Party hereby consents to the assignment or license or other disposition by the other Party of its joint interests in Joint Inventions without the need to seek the consent of the other Party to such assignment or license or other disposition; provided that any such assignment, license or other disposition shall at all times be subject to the grant of rights and accompanying conditions under Sections 2.1 and 2.2 and Article 14.",Intellectual Property,Original Corporate
"The Employee shall receive a gross monthly salary of Rs. 239,000 subject to applicable tax deductions.",Salary/Compensation,Employment
The Reseller shall be entitled to enter into agreements with its subsidiaries and affiliates to act as sub-distributors and/or selling agents of the Products in the Territory.,License Grant,Original Corporate
The Supplier agrees to supply the Products exclusively to the Buyer within the territory of India during the term.,Exclusivity,Business
"The Employee shall receive a gross monthly salary of INR 228,000 subject to applicable tax deductions.",Salary/Compensation,Employment
"The occurrence of a force majeure event (such as earthquake, flood, pandemic, or labor strike) shall suspend performance obligations.",Force Majeure,General
"Customer, upon thirty days prior written notice, may cancel this           Agreement at the end of the Initial Term and thereafter on each           anniversary of the end of the Initial Term.",Notice Period / Termination,Original Corporate
"Each Party will notify the other Party, in writing (""INVENTION NOTICE""), within thirty (30) days of reduction to practice or knowledge of  conception or discovery of JOINT INTELLECTUAL PROPERTY, and each INVENTION NOTICE will describe the JOINT INTELLECTUAL  PROPERTY with sufficient specificity to allow assessment by the other Party.",Intellectual Property,Original Corporate
"If performance is delayed by a force majeure event for more than 60 days, either party may terminate the contract.",Force Majeure,General
"The Tenant shall pay a refundable security deposit of INR 179,000 before taking possession of the premises.",Security Deposit,Rental
"Regardless of any other provision of this Agreement, VOTOCAST shall not be liable by reason of termination of this Agreement for compensation, reimbursement, or damages on account of the loss of prospective profits on anticipated sales, or on account of expenditures, investments, leases or other commitments made in connection with Licensee's business or otherwise, excluding any amounts paid by Licensee to VOTOCAST pursuant to the terms of this Agreement.",Limitation of Liability,Original Corporate
All notices under this agreement shall be in writing and sent to the address specified in the recitals.,Notices,General
"For the duration of the Agreement, the Client shall not engage any other service provider for similar consulting services.",Exclusivity,Business
"For a period of 6 months post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
"This Affiliate Agreement is executed as of the 14th day of December, 1997.",Effective Date & Parties,Original Corporate
"For a period of 1 year post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
"The Employee shall receive a gross monthly salary of INR 59,000 subject to applicable tax deductions.",Salary/Compensation,Employment
"The Tenant shall pay electricity, water, and gas charges based on actual consumption directly to the utility providers.",Maintenance & Utilities,Rental
"Subject to the terms and               --------------------------------                           conditions of this Agreement, NTL, to the extent of its legal right to do so, hereby grants to Entrust under the Nortel Patents, a non-transferable, non- assignable, indivisible, non-exclusive, royalty-free, worldwide license for Licensed Products and Licensed Services.",License Grant,Original Corporate
"As provided for in this Section 1, the term of this Agreement shall be for a period of five (5) years, beginning on the Effective Date (the ""Initial Term""); provided, however, the Initial Term shall be subject to automatic successive renewal terms of three (3) years each (the ""Renewal Terms"" and together with the Initial Term, the ""Term"").",Notice Period / Termination,Original Corporate
TL will trademark the series name in joint                   names of TL and Integrity.,Intellectual Property,Original Corporate
"The Employee shall receive a gross monthly salary of Rs. 85,000 subject to applicable tax deductions.",Salary/Compensation,Employment
"A security deposit of Rs. 142,000 shall be deposited with the Landlord to secure performance under this lease.",Security Deposit,Rental
All equipment supplied is covered by a manufacturer warranty of one year against manufacturing defects.,Warranty Duration,Service
The Lessee shall use the leased premises solely for office space and commercial activities permitted by local laws.,Use of Premises,Rental
"During the Term and for a period of twelve (12) months thereafter Network Affiliate will not, without NCM's prior written  consent, either alone or in concert with others directly or indirectly solicit, entice, induce, or encourage:",Non-Compete,Original Corporate
All notices under this agreement shall be in writing and sent to the address specified in the recitals.,Notices,General
"The term (the ""Term"") shall commence on November 1, 2007 and end on October 31, 2008 (unless terminated earlier in accordance with the General Provisions).",Effective Date & Parties,Original Corporate
Party B's use of the Platform and the acquisition of any information by using the Platform are solely at Party B's independent judgment and is at Party B's own risk (including but not limited to the losses caused by damage to Party B's computer system or mobile phone system or loss of data.),Limitation of Liability,Original Corporate
"The term of this Agreement shall continue for a period of five years following the initial date of execution of the Memorandum, unless terminated earlier pursuant to Section 6.2 or Section 2.8 (""Initial Term"").",Notice Period / Termination,Original Corporate
"If performance is delayed by a force majeure event for more than 30 days, either party may terminate the contract.",Force Majeure,General
All legal relationships between the parties shall be subject to the laws of the Republic of India.,Governing Law,General
"The Lessee agrees to pay a monthly rent of Rs. 61,000 net of all deductions to the Lessor.",Rent,Rental
All information obtained by Ehave and its Auditors during any such Audit shall be kept confidential and shall be considered CHT's Confidential Information.,Other Corporate,Original Corporate
"This Agreement shall be interpreted, construed and enforced in all respects in accordance with the laws of the State of Illinois, except with regards to its rules regarding choice of law.",Governing Law,Original Corporate
"If the Term is renewed as described in Section 2(b), Network and Affiliate will negotiate exclusively and in good faith concerning further renewal of this Agreement upon mutually-agreed terms and conditions; provided, that unless Network and Affiliate otherwise agree in writing, the exclusive negotiation period will end six (6) months before the expiration of the Term.",Notice Period / Termination,Original Corporate
"Changepoint will replace          any defective media returned to Changepoint during the Warranty Period.          In the event any such breach of warranty can not be reasonably          corrected at Changepoint's sole expense, Corio has the right to





         terminate this Agreement and receive a",Limitation of Liability,Original Corporate
The courts of law at Ahmedabad shall have exclusive jurisdiction to try and settle any disputes arising under this deed.,Jurisdiction & Venue,General
"17.1.2. Divert or attempt to divert any business or customer, or potential business or customer, to any Competitive Business;",Non-Compete,Original Corporate
"ALFA AESAR agrees not to manufacture, buy, sell, distribute, deal in or be the agent for any products with the specifications of any of the Products, excluding any preexisting ALFA AESAR products.",Exclusivity,Original Corporate
"The parties submit to the exclusive jurisdiction of the competent courts located within the city of Kolkata, India.",Jurisdiction & Venue,General
"this ____ day of ___________, 2000,",Effective Date & Parties,Original Corporate
The Seller warrants that the goods will be free from material defects for a period of 24 months from delivery.,Warranty Duration,Service
"This Agreement shall be governed by, interpreted, and construed in accordance with the substantive laws of India.",Governing Law,General
"During the probation period, either party may terminate employment by giving 7 days' notice.",Notice Period / Termination,Employment
"For greater certainty, ""New Technology"" shall exclude any (x) modification to Philips pre-existing Intellectual Property Rights (which, shall exclude any Intellectual Property Rights forming part of the ""Purchased Assets"" under the Purchase Agreement) and (y) developments developed not for the Products (collectively, ""Philips Retained Product IP'), provided that Philips and its Affiliates hereby grant to Customer under any such Intellectual Property Rights, which are applicable or used for the manufacturing of the Product, a non- exclusive, non-transferable (except in accordance with clause 18.4 (Assignment)), irrevocable, world-wide, fully paid-up license, without the right to grant sub-licenses, to make, have made, sell or commercialize in any other way the Product.",License Grant,Original Corporate
The Employee shall not engage in any business competing with the Employer's activities during employment and for 1 year thereafter.,Non-Compete,Employment
All legal relationships between the parties shall be subject to the laws of the Republic of India.,Governing Law,General
The courts of law at Ahmedabad shall have exclusive jurisdiction to try and settle any disputes arising under this deed.,Jurisdiction & Venue,General
policy or policies evidenced thereby shall not be canceled or modified without thirty (30) days advance written notice.,Other Corporate,Original Corporate
"The Employee shall receive a gross monthly salary of INR 137,000 subject to applicable tax deductions.",Salary/Compensation,Employment
"A monthly lease rent of Rs. 43,000 shall be paid by the Lessee to the Lessor in advance by the 10thth of every month.",Rent,Rental
"Logan's shall have the exclusive use of the hood, the rear quarter panel area above the tire and the bottom of the deck lid (rear facing panel, TV panel) of the Race Car, as shown on Exhibit C to this Agreement.",Exclusivity,Original Corporate
"No party may assign any of its rights, obligations or privileges (except by operation of law or other corporate reorganization) hereunder without the prior written consent of the other party, which shall not be unreasonable withheld, provided, that any party shall have the right to assign its rights, obligations and privileges hereunder to a successor in business or an acquirer of all or substantially all of its business or assets to which this Agreement pertains without obtaining the consent of the other party.",Other Corporate,Original Corporate
"MINDA/MIL, since it will have access to the Technical Know-How which it would not have had otherwise, expressly agree that:



(a)   during the term of the Agreement, and thereafter for a period of five (5) years after the termination of the Agreement (such termination being termination by IMPCO due to default by MINDA/MIL), MIL/MINDA shall not, directly or indirectly, either alone or collectively or through any of its associates, affiliates, including subsidiaries or any entity owned or controlled by it enter into another joint venture agreement or marketing/distribution agreement with any company or persons in respect   15





  of the marketing and sale of goods similar to the Products in the Territory. by using the Technical Know-How",Non-Compete,Original Corporate
"Go                Call, upon ten (10) days written notice, shall have the right to                examine the books and records of PageMaster Corporation to verify                the sales resulting from this promotion.",Other Corporate,Original Corporate
"Notices shall be deemed served when delivered by hand, registered post, or confirmed email transmission.",Notices,General
"The Lessee has paid a sum of INR 101,000 as interest-free security deposit to the Lessor, refundable upon termination.",Security Deposit,Rental
"During the probation period, either party may terminate employment by giving 15 days' notice.",Notice Period / Termination,Employment
We shall give you written notice of our election not to renew the franchise at least three (3) months prior to the expiration of the initial or first renewal term of this Agreement.,Notice Period / Termination,Original Corporate
Either party may terminate this employment agreement by giving 2 months' written notice or salary in lieu thereof.,Notice Period / Termination,Employment
"Except for the joint marketing efforts referred to in Section 3.1 (v)        above, Dynamex agrees not to directly or indirectly solicit overnight        freight from customers of Purolator.",Non-Compete,Original Corporate
"The software warranty period shall be 24 months, during which the Licensor will fix any critical bugs free of charge.",Warranty Duration,Service
The courts of law at Bengaluru shall have exclusive jurisdiction to try and settle any disputes arising under this deed.,Jurisdiction & Venue,General
Supply of drugs/medications and spare parts during and after the warranty period.,Warranty Duration,Original Corporate
"The Tenant shall pay monthly rent of INR 25,000 to the Landlord on or before the 5th day of each calendar month.",Rent,Rental
"this ______ day of ________________, 2013,",Effective Date & Parties,Original Corporate
interest to the Joint Venture without the unanimous written consent of the remaining Participants.,Non-Compete,Original Corporate
"THE FOREGOING WARRANTIES AND LIMITATIONS ARE EXCLUSIVE REMEDIES AND ARE IN LIEU OF ALL OTHER WARRANTIES EXPRESS OR IMPLIED, INCLUDING WITHOUT ANY LIMITATION WARRANTY OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE.",Limitation of Liability,Original Corporate
"Unless terminated earlier pursuant to Section 12.2 below, the initial term of this Agreement shall expire on 31 December 2024 (the ""Initial Term"") unless the Parties mutually agree in writing any extension to the Initial Term.",Notice Period / Termination,Original Corporate
"Customer hereby grants to IBM, its Affiliates and Subcontractors all rights and licenses to, or agrees to promptly obtain and keep in effect Required Consents for all Customer Components, necessary for IBM to perform all of its obligations as set forth in this Agreement.",License Grant,Original Corporate
The total liability of the Company under this agreement shall be limited to the fees actually paid during the preceding 12 months.,Limitation of Liability,General
"(It is expressly understood by the parties that CONSULTANT may play [* ****] clubs in the bag other than ADAMS GOLF clubs including, but not limited to, a putter by a manufacturer other than ADAMS GOLF but may not endorse those clubs and/or putter.)",Exclusivity,Original Corporate
"The software warranty period shall be 90 days, during which the Licensor will fix any critical bugs free of charge.",Warranty Duration,Service
"This Agreement shall commence on March 15, 2018 and will expire on March 14, 2020 unless terminated earlier pursuant to Section 13 of the Agreement (the ""Term"").",Effective Date & Parties,Original Corporate
"The Employee shall receive a gross monthly salary of Rs. 40,000 subject to applicable tax deductions.",Salary/Compensation,Employment
"This Agreement shall be governed by, interpreted, and construed in accordance with the substantive laws of India.",Governing Law,General
"The parties submit to the exclusive jurisdiction of the competent courts located within the city of Chennai, India.",Jurisdiction & Venue,General
"For the duration of the Agreement, the Client shall not engage any other service provider for similar consulting services.",Exclusivity,Business
"This contract shall be effective as of November 1, 2002, and shall remain in force and effect, unless modified as per Exhibit B, until October 31, 2012.",Effective Date & Parties,Original Corporate
"Thereafter, the agreement shall automatically renew for successive five (5)-year terms, unless either Party gives written notice to the other Party of intent not to renew at least six (6) months prior to the expiration of the then-current Term.",Notice Period / Termination,Original Corporate
"Effective Date"" shall mean December 5, 2014.",Effective Date & Parties,Original Corporate
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be Kolkata.,Arbitration & Dispute Resolution,General
Any legal proceedings in connection with this agreement shall be initiated only in the competent courts in Ahmedabad.,Jurisdiction & Venue,General
"Any dispute or difference arising out of this agreement shall be referred to sole arbitration in Pune under the Arbitration and Conciliation Act, 1996.",Arbitration & Dispute Resolution,General
"The Lessee has paid a sum of INR 44,000 as interest-free security deposit to the Lessor, refundable upon termination.",Security Deposit,Rental
"By either Vendor or Distributor, upon written notice of termination of this Agreement no later than ninety (90) calendar days prior to the expiration of the relevant Term, then in effect;",Notice Period / Termination,Original Corporate
"Notwithstanding the foregoing, nothing herein shall restrict or preclude the Parties' right to make generalized searches for employees by way of a general solicitation for employment placed in a trade journal, newspaper or website.",Non-Compete,Original Corporate
"If performance is delayed by a force majeure event for more than 30 days, either party may terminate the contract.",Force Majeure,General
"""Harpoon Patents"" means all of the Patents that are (a) Controlled by Harpoon or any of its Affiliates as of the Effective Date or at any time during the Term and (b) necessary or reasonably useful (or, with respect to Patent applications, would be necessary or reasonably useful if such Patent applications were to issue as Patents) for the Exploitation of any Licensed Compound or any Licensed Product, but excluding Joint Patents. The Harpoon Patents include the Existing Patents.",License Grant,Original Corporate
The Receiving Party agrees to keep all proprietary information confidential and protect it with reasonable care.,Confidentiality,NDA/Confidentiality
The Lessee shall use the leased premises solely for office space and commercial activities permitted by local laws.,Use of Premises,Rental
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be Hyderabad.,Arbitration & Dispute Resolution,General
All technical and commercial data disclosed under this NDA shall remain the exclusive property of the Disclosing Party.,Confidentiality,NDA/Confidentiality
No party shall disclose the terms or financial details of this transaction to any third party without written consent.,Confidentiality,NDA/Confidentiality
"products or services to an ICC Client or Certificate Owner other than the GIE, if such ICC Client or Certificate Owner is identified  from information any of the PHL Parties, any of their Affiliates, or any of their respective officers, directors, employees, agents,  or representatives, obtain pursuant to any of the Transaction Documents or any transaction contemplated thereunder.",Non-Compete,Original Corporate
The premises shall be used only for residential purposes. The Tenant shall not use the premises for any commercial activity.,Use of Premises,Rental
We may immediately terminate this Agreement on notice to you and without any opportunity to cure the default if:,Non-Compete,Original Corporate
"eBix may terminate this Agreement, [**] upon [**] to About; provided,       however, that the termination is no earlier than [**] of the Effective       Date of this Agreement.",Notice Period / Termination,Original Corporate
"""Contract Period"" shall mean that period of time commencing on                   January 1, 2000 and concluding December 31, 2003, unless                   terminated sooner as provided herein.",Effective Date & Parties,Original Corporate
"Neither party shall be held liable for any delay or failure in performance due to acts of God, war, lockouts, or government restrictions.",Force Majeure,General
"Each Seller agrees that for a period commencing on the Effective Date and ending three years after the Closing Date (the ""Non-Solicit Period""), each Seller shall not, directly or indirectly: (i) induce, solicit, recruit or attempt to persuade any employee of the Combined Business to terminate his or her employment with the Buyer or any of its subsidiaries, or (ii) solicit the employment of any of the employees of the Combined Business.",Non-Compete,Original Corporate
"Recipient shall own, and Provider hereby irrevocably assigns to the Recipient, all rights, title, and interest in any invention, technique, process, device, discovery, improvement, or know-how, whether patentable or not and all other proprietary rights, industrial rights and any other similar rights, in each case on a worldwide basis, and all copies and tangible embodiments thereof, or any part thereof, in whatever form or medium hereafter made or conceived solely or jointly by Provider while working for or on behalf of the Recipient, which relate to, is suggested by, or results from the Services.",Intellectual Property,Original Corporate
"Roche shall exclusively own, and FMI shall assign to Roche, all intellectual property arising from the Immunotherapy Testing Platform Development that Covers methods of treatment, stratifying patients, or identifying patients that would benefit from a particular treatment, and all other methods useful in connection with the therapeutic treatment of a patient.",Intellectual Property,Original Corporate
"The Lessee agrees to pay a monthly rent of Rs. 61,000 net of all deductions to the Lessor.",Rent,Rental
"The parties submit to the exclusive jurisdiction of the competent courts located within the city of Kolkata, India.",Jurisdiction & Venue,General
"19.3.3 Own, maintain, develop, operate, engage in, franchise or license, make loans to, lease real or personal property to, be associated with, accept any compensation or remuneration from, and/or have any whatsoever interest in, or render services or give advice to, any Competitive Business.",Non-Compete,Original Corporate
The maximum aggregate liability of the Vendor shall not exceed the sum of INR 4 Lakhs.,Limitation of Liability,General
"A security deposit of Rs. 60,000 shall be deposited with the Landlord to secure performance under this lease.",Security Deposit,Rental
"The Employer agrees to pay the Employee a CTC of INR 131,000 per annum, paid in monthly installments.",Salary/Compensation,Employment
"Disputes shall be resolved by arbitration in accordance with the rules of the Indian Arbitration Act, with the venue of arbitration in Chennai.",Arbitration & Dispute Resolution,General
"Notices shall be deemed served when delivered by hand, registered post, or confirmed email transmission.",Notices,General
Either party may terminate this employment agreement by giving 2 months' written notice or salary in lieu thereof.,Notice Period / Termination,Employment
