clause_text,risk_level,domain,clause_type,is_synthetic
"Pretzel  Time or its  designee  shall have the right at any time during business  hours and without prior notice to  Franchisee,  to inspect,  audit and copy or the right to cause to be  inspected,  audited and copied,  the  business records,  bookkeeping and accounting  records,  sales and income tax records and returns and other records of the Franchised Business,  including but not limited to,  daily  cash  reports,  cash  receipts  journal  and  general  ledger,  cash disbursements  journal and weekly payroll register,  monthly bank statements and daily deposit slips and cancelled checks; tax returns,  supplier invoices, dated cash register tapes, weekly inventories, sales reports, financial statements and tax returns and the books and records of any  corporation or  partnership  which holds the Franchise  including the personal financial records and tax returns of the Franchisee during and after the term of the Franchise Agreement.",medium,Original Corporate,Audit Rights,False
"Any default in repayment shall attract an immediate penalty of 24% interest per annum compounded monthly, and the Lender shall have the right to seize all assets of the Borrower.",high,Loan,Interest & Penalties,True
Late payments shall attract an additional default interest rate of 2% per month starting from the due date.,medium,Loan,Interest & Penalties,True
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
"In connection with the execution of this Agreement, Consultant and Company shall enter into a Restricted Stock Agreement. Subject to approval of the Board of Directors of the Company, the Company shall issue and sell to the Consultant, and the Consultant shall purchase from the Company, subject to the terms and conditions set forth in this Agreement and the Restricted Stock Agreement, 1,990,000 shares (the ""Shares"") of common stock, $0.0001 par value, of the Company (""Common Stock""), at a purchase price of $0.0001 per share, for an aggregate purchase price of $190.",high,Original Corporate,Revenue/Profit Sharing,False
"element 5 GmbH, Vogelsanger Strasse 78, 50823 Cologne, Germany and its subsidiaries (together hereafter, ""element 5"")",low,Original Corporate,Parties,False
The Employee shall not work for any competitor in the same city for 24 months after the termination of employment.,medium,Employment,Non-Compete,True
"Upon any expiration or termination of this Agreement, Emdeon shall have a reasonable period of time to remove the Content from the Software",high,Original Corporate,Post-Termination Services,False
STRATEGIC ALLIANCE AGREEMENT is,low,Original Corporate,Document Name,False
"This Agreement shall be retroactively effective from the date three years prior to the date of execution, applying to all past transactions.",high,Original Corporate,Effective Date,True
"The Tenant shall pay a refundable security deposit of INR 117,000 before taking possession. The deposit shall be returned within 15 days after the tenancy ends, subject only to deductions for actual physical damage.",low,Rental,Security Deposit,True
"(the ""Company"" and together with Buyer the ""Buyer Entities""",low,Original Corporate,Parties,False
"""Effective Date"" shall mean February 16, 1998",low,Original Corporate,Effective Date,False
[*] will have insurance policies with reputable insurers to provide coverage and amounts that secure its obligations and potential liabilities under this Agreement.,medium,Original Corporate,Insurance,False
"This Agreement shall be deemed to have been entered into in the State of New Jersey, and shall be construed and interpreted in accordance with the laws of that State applicable to agreements made and to be performed in the State of New Jersey.",low,Original Corporate,Governing Law,False
"For three (3) years after each calendar quarter during the           term of this Agreement, Co-Host will keep, at Co-Host's office, full           and accurate books of account and copies of all documents and other           materials for such quarter relating to this Agreement and Co-Host's           records, accounts and contracts relating to the distribution of the           Products.",medium,Original Corporate,Post-Termination Services,False
The notice period required to terminate or prevent automatic renewal of this Agreement shall be thirty (30) days.,medium,Original Corporate,Notice Period To Terminate Renewal,True
The term of this Agreement is twenty-four (24) months.,low,Original Corporate,Expiration Date,False
"CONTENT PROVIDER further grants to COMPANY (i) the right to sublicense the Content to COMPANY'S wholly-owned subsidiaries or to joint ventures in which COMPANY participates for the sole purpose of using, reproducing, distributing, transmitting and publicly displaying the Content in accordance with this Agreement; and, (ii) the right, in COMPANY'S discretion, to use and exploit the Content at one or more other web sites in addition to or in lieu of the web sites referred to in the recital above (the web sites referred to above and any other web sites in addition to or in lieu thereof where COMPANY, its subsidiaries or joint ventures in which it might participate might use or exploit the Content are hereinafter collectively referred to as the ""Web site"").",low,Original Corporate,Affiliate License-Licensee,False
Each Party may also terminate the Agreement for convenience after Contract Year 2,high,Original Corporate,Termination For Convenience,False
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
"and, at the same time, shall, retroactive to the effective date of such other agreement, increase the rate of remuneration paid to Pey Dirt hereunder up to the highest then-current rate paid by Company to any such National Football League quarterback (active or retired) for a regional endorsement deal.",low,Original Corporate,Most Favored Nation,False
"PaperExchange hereby grants VerticalNet an exclusive license to use, modify, enhance, reproduce, display, perform and transmit the PaperExchange Content, subject to and in accordance with the terms, conditions and provisions of this Agreement.",high,Original Corporate,Exclusivity,False
Signature Orthopaedics Pty Ltd,low,Original Corporate,Parties,False
"The Receiving Party shall keep the confidential information secret in perpetuity, and any breach shall result in automatic liquidated damages of INR 50 Lakhs.",high,NDA,Confidentiality,True
This Agreement shall be effective as of the date of the first commercial purchase order placed by Customer.,medium,Original Corporate,Effective Date,True
Customer shall have the right to have a representative present at each Facility to observe the performance of the Manufacturing Process by Supplier during normal business hours with at least [* * *] advance notice.,medium,Original Corporate,Audit Rights,False
It is the cumulative maximum for which IBM and its Affiliates and Subcontractors are collectively responsible.,medium,Original Corporate,Cap On Liability,False
"SpinCo shall have the sole right to determine the content contained in future editions of the Steam Book, provided, however, that SpinCo will provide RemainCo with a right of first refusal to collaborate with SpinCo to provide content related to nuclear subject matter in the forty-third (43rd) edition of the Steam Book, with allocation of costs and revenues and any attribution and Copyright ownership with respect to RemainCo contributed content to be negotiated in good faith by the Parties.",medium,Original Corporate,Rofr/Rofo/Rofn,False
"Wireless Links (WLI) warrants to the original end user purchaser (""You"") that the Equipment will be free from defects in workmanship and materials (""Limited Warranty"") for a period of one (1) year from the date of the purchase of the Equipment (the ""Warranty Period"").",medium,Original Corporate,Warranty Duration,False
IGER will not collaborate with or perform any activities for the benefit of or grant any rights to any for-profit third party in the field of the  COLLABORATION CROPS without the prior written consent of CERES.,medium,Original Corporate,Exclusivity,False
"The license granted herein is non-transferable, except in connection with a merger or sale of all or substantially all assets.",medium,Original Corporate,Non-Transferable License,True
"The Tenant shall pay a refundable security deposit of INR 60,000 before taking possession. The deposit shall be returned within 60 days after the tenancy ends, subject only to deductions for actual physical damage.",low,Rental,Security Deposit,True
"In partial consideration of Company's Promotion of the Product in accordance with the terms of this Agreement, and subject to the terms and conditions of this Agreement, with respect to each Calendar Quarter during Calendar Year 2019 and Calendar Year 2020, Janssen shall pay Company a service fee (the ""Service Fee""), as follows:

(a) with respect to each Calendar Quarter during Calendar Year 2019, an amount equal to (i) [***] percent ([***]%) of that portion of Cumulative Net Sales that is greater than the Baseline for Calendar Year 2019, less (ii) the total Service Fees that have been invoiced by Company to Janssen for all preceding Calendar Quarters of Calendar Year 2019; and





(b) with respect to each Calendar Quarter during Calendar Year 2020, an amount equal to (i) [***] percent ([***]%) of that portion of Cumulative Net Sales that is greater than the Baseline for Calendar Year 2020, less (ii) the total Service Fees that have been invoiced by Company to Janssen for all preceding Calendar Quarters of Calendar Year 2020.",medium,Original Corporate,Revenue/Profit Sharing,False
The frequency of such audits as well as the response time with respect to audit findings shall be governed by the Quality Agreement.,medium,Original Corporate,Audit Rights,False
"Licensee's sole and exclusive remedy and VOTOCAST'S sole and exclusive liability for any loss or interruption of Services shall be as follows. For loss or interruption of Services which is not due to scheduled maintenance, and is caused by VOTOCAST, and such loss or interruption of Services exceeds a continual period of one (I) hour per Exhibit C, Licensee shall receive a credit against future Services equal to one-thirtieth (1/30) of the monthly fees for the Services for each cumulative hour, up to a maximum total of the fees charged for Services for the applicable month of the affected Services.",high,Original Corporate,Cap On Liability,False
"'IMPCO', which terms shall unless repugnant to the subject or context mean and include its successors and permitted assigns",low,Original Corporate,Parties,False
"DOT COM LLC, OBA Seattle Software Developers",low,Original Corporate,Parties,False
The basket of Crude Oil to be used shall always include a minimum of ten (10) Crude Oils.,medium,Original Corporate,Minimum Commitment,False
"In the event that Customer elects to extend the Initial Term of the Agreement or of a Facility Addendum, the Price for each applicable Product in any Extension Period shall be one hundred percent (100%) of Manufacturer's Standard Product Materials Cost plus one hundred and ten percent (110%) of Manufacturer's Standard Conversion Cost of such Product, each for the initial Fiscal Year of the first Extension Period with respect to such Product.",high,Original Corporate,Price Restrictions,False
"In the event FCE notifies ExxonMobil that it has formally decided not to pursue Generation 2 Technology for Power Applications, then upon ExxonMobil's written request, FCE agrees to negotiate a grant to ExxonMobil and its Affiliates, under commercially reasonable terms to be determined in good faith, a worldwide, royalty-bearing (with the royalty to be negotiated), non-exclusive, sub-licensable right and license to practice FCE Background Information and FCE Background Patents for Generation 2 Technology in any application outside of Carbon Capture Applications and Hydrogen Applications.",high,Original Corporate,License Grant,False
"""Party"" means Array or Ono, individually; and ""Parties"" means Array and Ono, collectively.",low,Original Corporate,Parties,False
"C. Own, maintain, engage in, be employed by, advise, consult, assist, invest in or have any interest whatsoever in any business or entity which competes with or offers products or services which are the same or similar to those of AIRSOPURE or the Franchise.",high,Original Corporate,Non-Compete,False
The Agreement may be renewed for an additional period of  seven (7) years at the option of the Licensor.,low,Original Corporate,Renewal Term,False
Each Service Option Attachment will renew automatically for an additional term equal in duration to the previous term of the applicable Service Option Attachment unless either party notifies the other party in writing at least ninety (90) days prior to the end of the then-current term for the applicable Service Option Attachment that it has elected to terminate such Service Option Attachment.,high,Original Corporate,Renewal Term,False
The Royalty rate shall be [*] percent ([*]%) on the Affinities and Reference Content; and [*] percent ([*]%) on Translated Content.,medium,Original Corporate,Revenue/Profit Sharing,False
The Employee is strictly prohibited from working for any direct or indirect competitor anywhere in India for a period of 3 years post-termination.,high,Employment,Non-Compete,True
"This Agreement shall be construed and its provisions interpreted under and in accordance with the internal  Laws of the State of Connecticut, without giving effect to principles of conflict or choice of laws of that or any other  jurisdiction.",low,Original Corporate,Governing Law,False
"Notwithstanding the foregoing, if PB terminates this Agreement pursuant to this Section 14.2.1 above based on SFJ's failure to make any payment due to PB in accordance with ARTICLE 4, then, if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, PB shall remain obligated to pay to SFJ fifty percent (50%) of any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time that such payments become due and payable (if ever) pursuant to ARTICLE 6 (or, as applicable, fifty percent (50%) of any Buy-Out Payment that PB elects to pay pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall also be adjusted as set forth in Section 6.2.",high,Original Corporate,Post-Termination Services,False
The foregoing shall be Bellicum's sole and exclusive remedy and Miltenyi's sole obligation with respect to claims that any Miltenyi Product fails to comply with the Miltenyi Product Warranty or the warranties in Section 11.,high,Original Corporate,Cap On Liability,False
"No Party shall assign or transfer or purport to assign or transfer (whether by operation of Law or otherwise) any of its rights, interests or obligations hereunder without the prior written consent of the other Party; provided, that Acquiror may assign this Agreement and its rights and interests herein without any such consent as collateral to the Lenders in connection with the Financing.",high,Original Corporate,Anti-Assignment,False
Licensee may extend the license to its direct subsidiaries with prior written notification to Licensor.,low,Original Corporate,Affiliate License-Licensee,True
"This Agreement shall be effective           through and including March 31, 2004.",low,Original Corporate,Expiration Date,False
"Astellas shall have access to and the right to use solely for the purpose of this Agreement, any Data developed by or on behalf of FG or its Affiliates or Sublicensees with respect to Lead Compounds in connection with the Field (i) to the extent necessary to support the application to the regulatory authority in the Astellas Territory or to fulfill other Japanese Ministry of Health, Labor and Welfare regulatory requirements, or (ii) if not necessary to support such application or to fulfill such Japanese Ministry of Health, Labor and Welfare regulatory requirements, to the extent FG is permitted subject to FG's third party obligations; provided that FG shall [ * ] negotiate the availability of such Data to Astellas from such Sublicensee, and provided, further, that Astellas agrees not to use or disclose to third parties any such data for purposes outside the Field except as authorized under this Agreement.",low,Original Corporate,License Grant,False
"Supplier's total aggregate liability under this Agreement for any and all claims shall be strictly capped at USD 1,000.",high,Original Corporate,Cap On Liability,True
"Any default in repayment shall attract an immediate penalty of 24% interest per annum compounded monthly, and the Lender shall have the right to seize all assets of the Borrower.",high,Loan,Interest & Penalties,True
"Notwithstanding the foregoing, in no event will Fox develop, publish and/or distribute games derived from the Property ""ICE AGE 2"" prior to January 1, 2007.",high,Original Corporate,License Grant,False
"Any default in repayment shall attract an immediate penalty of 24% interest per annum compounded monthly, and the Lender shall have the right to seize all assets of the Borrower.",high,Loan,Interest & Penalties,True
"Any sale,           transfer or other conveyance of all or any part of the stock in, or           assets of, Licensor in violation of this Section shall be null and           void.",high,Original Corporate,Rofr/Rofo/Rofn,False
Late payments shall attract an additional default interest rate of 2% per month starting from the due date.,medium,Loan,Interest & Penalties,True
"The Landlord may terminate this agreement by giving 45 days notice, whereas the Tenant must give 90 days notice and pay a penalty.",medium,Rental,Termination,True
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
"5.1.13 not engage, directly or indirectly, in any cross-marketing or cross-promotion of the Hotel with any Other Hotel or related business, without our prior written consent. You agree to refer guests and customers, wherever reasonably possible, only to System Hotels or Network Hotels.",medium,Original Corporate,Exclusivity,False
"During the retention period, documentation shall be available for inspection by HEMISPHERX, its authorized agents and authorized government agencies.",medium,Original Corporate,Audit Rights,False
Distributor acknowledges Zogenix's exclusive ownership of the Product Trademarks and agrees not to take any action inconsistent with such ownership.,high,Original Corporate,Covenant Not To Sue,False
"Diplomat agrees to pay KI, Inc. the minimum royalties set forth below as a minimum guarantee against royalties to be paid to KI, Inc. under subparagraph 3.(a), above:

                  (1) 1st License Year (8/1/95 - 1/30/97):     $                   (2) 2nd License Year (2/1/97 - 1/30/98):     $                   (3) 3rd License Year (2/1/98 - 1/30/99):     $                   (4) 4th License Year (2/1/99 - 1/30/2000):   $",medium,Original Corporate,Minimum Commitment,False
"Know-How, Achaogen Patents, and Achaogen Materials to research, develop, manufacture, use, market and sell the Assay in the Territory. [***].",medium,Original Corporate,Exclusivity,False
The Employee is strictly prohibited from working for any direct or indirect competitor anywhere in India for a period of 3 years post-termination.,high,Employment,Non-Compete,True
"Without limiting the generality of the foregoing, Company will ensure that such policies contain a waiver of subrogation against ACSI, name ACSI and its assignees as additional insureds.",high,Original Corporate,Insurance,False
"This Agreement shall      renew for successive 1-year periods, after the initial 1 Year Term, if      agreed by both parties in writing within 30 days of license expiration.",low,Original Corporate,Renewal Term,False
"Explosion, Collapse, and Underground Damage Liability will have the same limit requirement as the Commercial General Liability policy.",medium,Original Corporate,Insurance,False
"D-Beta One Growth and Opportunity Fund Offshore, LP",low,Original Corporate,Parties,False
"Effective Date and shall remain in force for a period of one (1) year, and shall be automatically renewed for successive periods of one (1) year unless otherwise terminated  as provided  herein.",high,Original Corporate,Renewal Term,False
"Bosch International, LLC / XLI Technologies, Inc.",low,Original Corporate,Parties,False
"""Minimum Revenue Targets"" shall mean: (i) in the first (1st) year of the Term, Aggregate Revenues of not less than Nine Million Dollars ($9,000,000) and (ii) in the second (2nd) year of the Term, Aggregate Revenues of not less than Twelve Million Dollars ($12,000,000).",medium,Original Corporate,Minimum Commitment,False
This Amendment shall be governed by and construed in accordance with the laws of Japan.,low,Original Corporate,Governing Law,False
"This Agreement and any disputes, claims, or actions related thereto shall be governed by and construed in accordance with the laws of the State of California, USA, without regard to the conflicts of law provisions thereof.",low,Original Corporate,Governing Law,False
"The Tenant shall pay a refundable security deposit of INR 50,000 before taking possession. The deposit shall be returned within 30 days after the tenancy ends, subject only to deductions for actual physical damage.",low,Rental,Security Deposit,True
"the ""Subsidiary,"" and collectively with Water Now, ""Hydraspin"")",low,Original Corporate,Parties,False
"Consultant agrees that, regardless of whether the Innovations are legally works made for hire, all Innovations will be the sole and exclusive property of the Company.",high,Original Corporate,Ip Ownership Assignment,False
"In connection with the foregoing appointment, Supplier hereby grants Reseller a non-transferable, revocable, limited right to resell, market, promote, stimulate interest in, and solicit Orders by Customers and/or End Users in the Territory for the Products and to provide services in connection with those activities.",low,Original Corporate,License Grant,False
"Notwithstanding the foregoing, in the event the form of consideration paid or payable includes securities for which there is not an active public market, in lieu of paying that portion of the fee with such securities COMPANY will make a cash payment to JHU equal to the fair market value of such securities.",high,Original Corporate,Change Of Control,False
"Licensor hereby grants to Licensee a non-exclusive, revocable, non-sublicensable license to use the Software solely for internal business testing.",low,Original Corporate,License Grant,True
"This IP Agreement will be binding upon and inure to the benefit of the Parties hereto and their respective successors and  permitted assigns, but will not be assignable or delegable by any Party without the prior written consent of the other Party.",high,Original Corporate,Anti-Assignment,False
"During the Term, Green Cross shall not (either by itself, or with or through a Related Party or Third Party) Develop or Commercialize any (i) Product outside of the scope of this Agreement or (ii) Competing Product.",high,Original Corporate,Non-Compete,False
"If Calm exercises its ROFR within the ROFR Period, the Parties shall enter into an amendment or addendum to this Agreement to include such additional region and/or Stores.",medium,Original Corporate,Rofr/Rofo/Rofn,False
"CHT shall, in good faith and at its own expense:",medium,Original Corporate,Audit Rights,False
The Receiving Party shall protect the confidential information for 5 years and indemnify the Disclosing Party up to INR 8 Lakhs for accidental leaks.,medium,NDA,Confidentiality,True
This Agreement and any amendments thereto shall be construed according to the laws of the State of Colorado without regard to conflicts of law principles and any disputes hereunder shall be litigated in a state court in Colorado.,low,Original Corporate,Governing Law,False
The Employee shall not work for any competitor in the same city for 24 months after the termination of employment.,medium,Employment,Non-Compete,True
The licence granted hereunder shall become effective upon execution of this   AGREEMENT by both parties and shall endure indefinitely unless terminated   under clause 6. 2.,high,Original Corporate,Expiration Date,False
Producer further grants to ConvergTV the right and license to utilize any and all footage from the Program for promotional and marketing purposes related to the Distribution of the Program and for promotion of channels or other distribution methods.,low,Original Corporate,License Grant,False
"""Minimum Quantity"" means [***] pounds of Terpene Product per Year, prorated for any partial Year included in the Term.",medium,Original Corporate,Minimum Commitment,False
"The Landlord may terminate this Agreement immediately without notice if the Tenant fails to pay rent on the due date, and all belongings of the Tenant shall be seized.",high,Rental,Termination,True
This Agreement shall remain in full force and effect indefinitely until terminated by either party under the conditions of Section 9.,high,Original Corporate,Expiration Date,True
"The Receiving Party shall keep the confidential information secret in perpetuity, and any breach shall result in automatic liquidated damages of INR 50 Lakhs.",high,NDA,Confidentiality,True
"If STW exercises its option to produce and transport the CRA water, STW will construct additional facilities or expand existing facilities, as necessary, to be able to produce and transport the CRA water for sale.",medium,Original Corporate,Rofr/Rofo/Rofn,False
PRODUCT MANUFACTURING AGREEMENT,low,Original Corporate,Document Name,False
"You also shall not use any Mark or any commercial symbol similar to the Marks in connection with the performance or sale of any unauthorized services or products, or in any other manner we have not expressly authorized in writing.",low,Original Corporate,License Grant,False
"The Landlord may terminate this agreement by giving 60 days notice, whereas the Tenant must give 90 days notice and pay a penalty.",medium,Rental,Termination,True
The Employee is strictly prohibited from working for any direct or indirect competitor anywhere in India for a period of 3 years post-termination.,high,Employment,Non-Compete,True
FEDERATED ADVISORY SERVICES COMPANY,low,Original Corporate,Parties,False
"not been met during such Efficiency Warranty Period, then Operator shall so notify Owner in writing of the basis of its determination and Owner may make a claim under Section 2.5.",high,Original Corporate,Minimum Commitment,False
"""Licensing"" and together with Seller, ""Arizona"")",low,Original Corporate,Parties,False
This Agreement may be renewed for successive one-year terms upon the mutual written agreement of both parties at least 30 days prior to expiration.,low,Original Corporate,Renewal Term,True
"Subject to Section 1.6, by Vendor (or successor to Vendor), upon written notice to Distributor of a change of control of Vendor and the election by Vendor (or successor to Vendor) to terminate this Agreement, where a ""change of control"" shall mean a change in ownership of the Vendor such that an unaffiliated third party acquires a majority of the voting power of Vendor;",high,Original Corporate,Change Of Control,False
"Neoforma hereby grants VerticalNet the right to frame all pages of the Neoforma Sites that contain Medical Products Listings with a frame containing VerticalNet Marks substantially consistent with the prototype attached hereto as EXHIBIT C, which framed pages shall only be accessible from the VerticalNet Sites.",low,Original Corporate,License Grant,False
"Franchisee shall execute, for no additional consideration, any and all documents deemed necessary by Franchisor or its attorneys to be necessary to transfer such right, title or interest to Franchisor.",medium,Original Corporate,Ip Ownership Assignment,False
This Contract shall take effect after it is approved by the Examination and Approval Authority.,low,Original Corporate,Effective Date,False
The Term of this Agreement shall be for a period of [* ****] years and [*****] months commencing the 1st day of September 2004 and terminating the [*****] day of [*****].,low,Original Corporate,Effective Date,False
"Developer hereby assigns to Client all right, title, and interest in and to all software, tools, and ideas conceived by Developer during the term.",high,Original Corporate,Ip Ownership Assignment,True
JOINT CONTENT LICENSE AGREEMENT,low,Original Corporate,Document Name,False
"Nexstar Broadcasting of Peoria, L.L.C.",low,Original Corporate,Parties,False
The Receiving Party shall protect the confidential information for 5 years and indemnify the Disclosing Party up to INR 3 Lakhs for accidental leaks.,medium,NDA,Confidentiality,True
"The Tenant shall pay a refundable security deposit of INR 118,000. Deductions may be made for painting, general wear and tear, and cleaning at the sole discretion of the Landlord.",medium,Rental,Security Deposit,True
This Agreement shall be governed by the laws of the State of California without giving effect to conflict or choice of law principles.,low,Original Corporate,Governing Law,False
The Borrower shall repay the loan at an interest rate of 15% per annum. Late payments shall attract a grace period of 7 days.,low,Loan,Interest & Penalties,True
"4.2.2 the term ""Commission"" will mean the total fees paid in cash to us, by insurance carriers as a percentage of the Premiums generated by insurance policies sold by the Franchised Business, on all new and renewal policies.",medium,Original Corporate,Revenue/Profit Sharing,False
"You will not sell or lease Products at any location other than within Your Exclusive Territory, engage in mail order sales of Products or supply Products to others for resale or lease at any other location.",high,Original Corporate,Exclusivity,False
The Receiving Party shall protect the confidential information for 5 years and indemnify the Disclosing Party up to INR 4 Lakhs for accidental leaks.,medium,NDA,Confidentiality,True
"In the event of any material change or cancellation of the required insurance policies, the applicable Party will provide the other Party with thirty (30) calendar days' prior written notice and will promptly replace such insurance policy in accordance with this Section 15, without lapse in coverage.",medium,Original Corporate,Insurance,False
If the Minimum Efficiency Level has,medium,Original Corporate,Minimum Commitment,False
The Receiving Party shall protect the confidential information for 5 years and indemnify the Disclosing Party up to INR 2 Lakhs for accidental leaks.,medium,NDA,Confidentiality,True
"Software License, Customization and Maintenance Agreement",low,Original Corporate,Document Name,False
"(2) Recruit or hire any employee who, within the immediately  preceding          six (6) month period,  was employed by Pretzel Time or any Pretzel Time          Unit operated by Pretzel Time, its Affiliates or another  franchisee or          licensee  of  Pretzel  Time,   without   obtaining  the  prior  written          permission of Pretzel Time or such franchisee.",high,Original Corporate,No-Solicit Of Employees,False
"A Competitive Business shall be any business which, anywhere within the Included Markets, (x) manufactures, sells, markets or",high,Original Corporate,Non-Compete,False
"Wade Enterprises, Athlete and together with Naked, are each referred to herein as a ""Party"" and collectively, the ""Parties"".",low,Original Corporate,Parties,False
"The Landlord may terminate this agreement by giving 15 days notice, whereas the Tenant must give 90 days notice and pay a penalty.",medium,Rental,Termination,True
"Other than pursuant to this Section                         10.12(b)(v), the arbitration award shall not include any                         indirect, incidental, special, consequential, or                         punitive damages and the arbitrators shall be so                         instructed.",high,Original Corporate,Cap On Liability,False
"This Agreement shall be governed by the laws of the State of Connecticut, U.S.A. without regard to conflict of law principles.",low,Original Corporate,Governing Law,False
"DIALOG agrees not to exercise such license until occurrence of a Release Condition, subject to the other restrictions set forth in this Section 16.",high,Original Corporate,Source Code Escrow,False
"This agreement shall automatically renew for additional successive terms of twelve (12) months each at the end of the Initial Term (""Renewal Terms""), unless either party notifies the other in writing at least sixty (60) days prior to the end of the Initial Term.",medium,Original Corporate,Renewal Term,False
"Any default in repayment shall attract an immediate penalty of 24% interest per annum compounded monthly, and the Lender shall have the right to seize all assets of the Borrower.",high,Loan,Interest & Penalties,True
"Such insurance policy  shall be maintained with limits of not less than two million dollars ($2,000,000).",medium,Original Corporate,Insurance,False
Late payments shall attract an additional default interest rate of 2% per month starting from the due date.,medium,Loan,Interest & Penalties,True
The Receiving Party shall protect the confidential information for 5 years and indemnify the Disclosing Party up to INR 8 Lakhs for accidental leaks.,medium,NDA,Confidentiality,True
The Employee is strictly prohibited from working for any direct or indirect competitor anywhere in India for a period of 3 years post-termination.,high,Employment,Non-Compete,True
This Agreement may be terminated subject to the following clauses:,high,Original Corporate,Change Of Control,False
"If Sanofi provides such Notice of Interest during [***], then RevMed shall not negotiate with any Third Party the terms under which such Third Party would obtain any development or commercialization rights with respect to a SHP1-SHP2 Dual Inhibitor during the SHP1-SHP2 Dual Inhibitor Licensing Negotiation Period.",medium,Original Corporate,Rofr/Rofo/Rofn,False
"Under no circumstances shall any Party be liable to any other Party in contract, tort, (including negligence or breach of statutory duty) or otherwise for loss (whether direct or indirect) of profits, property, traffic, business or anticipated savings, or for any indirect or consequential loss or damage in connection with the operation of this Agreement howsoever caused.",high,Original Corporate,Cap On Liability,False
"The Receiving Party shall keep the confidential information secret in perpetuity, and any breach shall result in automatic liquidated damages of INR 50 Lakhs.",high,NDA,Confidentiality,True
"The Tenant shall pay a non-refundable security deposit of INR 100,000. The deposit shall be forfeited entirely if the Tenant terminates the agreement before the lock-in period.",high,Rental,Security Deposit,True
"Kitov shall have the right (at reasonable intervals, with reasonable prior written notice and during normal business hours, and not more often than annually) to inspect Dexcel's manufacturing facilities used in the manufacture, storage, testing, and/or release for shipment of the Product.",medium,Original Corporate,Audit Rights,False
The Employee shall not engage in any competing business during the term of employment within a 5 km radius of the office.,low,Employment,Non-Compete,True
"The Tenant shall pay a non-refundable security deposit of INR 100,000. The deposit shall be forfeited entirely if the Tenant terminates the agreement before the lock-in period.",high,Rental,Security Deposit,True
"CURO RECEIVABLES FINANCE II, LLC",low,Original Corporate,Parties,False
Each party shall provide a certificate of insurance (or evidence of self-insurance) evidencing such coverage to the other party upon request.,medium,Original Corporate,Insurance,False
"Developer hereby assigns to Client all right, title, and interest in and to the custom deliverables, excluding Developer's pre-existing IP.",low,Original Corporate,Ip Ownership Assignment,True
This Agreement shall become effective on the date on which it has been signed by both parties.,low,Original Corporate,Effective Date,True
SCULPTOR CAPITAL HOLDING CORPORATION,low,Original Corporate,Parties,False
"Fox and Licensee are collectively referred to as the ""parties"" and each individually as a ""party.""",low,Original Corporate,Parties,False
"The Tenant shall pay a refundable security deposit of INR 87,000. Deductions may be made for painting, general wear and tear, and cleaning at the sole discretion of the Landlord.",medium,Rental,Security Deposit,True
"During the Term of the Agreement and subject to the terms and conditions of the Agreement, Imprimis shall pay to Surgical Sales Commissions equal to ten percent (10%) of the Net Sales for Product.",medium,Original Corporate,Revenue/Profit Sharing,False
"For Untargeted           Offers that appear both on the Co-Branded Application and elsewhere           on the Excite Network, revenue attributable to placement on the           Co-Branded Application shall be calculated based on the price to be           established as set forth in Section 2.a of this Exhibit, and the           parties will share equally such revenue.",medium,Original Corporate,Revenue/Profit Sharing,False
"Any or the following events shall be Release Conditions for purposes of this Section: (a) Supplier defaults on any of its maintenance obligations herein; (b) Supplier ceases to provide maintenance for the Software; (c) Supplier ceases doing business in the ordinary course, files or has filed against it a petition under bankruptcy Code, becomes insolvent or has a receiver appointed for all or a substantial part of its business; or (d) Bank of America terminates this Agreement for cause pursuant to the terms hereof.",high,Original Corporate,Source Code Escrow,False
"Any transfer in violation hereof shall be deemed as a breach by Party B, for which Party B shall take relevant breaching liability and Party A may terminate this Agreement, suspend fee settlement and require Party B to undertake any direct or indirect loss thus caused.",high,Original Corporate,Anti-Assignment,False
"(each a ""Party,"" together, the ""Parties"").",low,Original Corporate,Parties,False
"Arizona may sublicense the licenses granted herein to its Affiliates and Third Parties in the ordinary course of business in support of its and its Affiliates' business, but not for the independent use of Third Parties, and the Company may sublicense the licenses granted herein to Third Parties, its Subsidiaries, AWP, controlled Affiliates, or any holding company that is a direct or indirect parent of the Company in the ordinary course of business in support of its and its Subsidiaries' or controlled Affiliates' business, but not for the independent use of Third Parties (each such Affiliate, Third Party, AWP or Subsidiary, a ""Sublicensee"").",low,Original Corporate,Affiliate License-Licensee,False
"No party to this Agreement has the right to assign any of its rights or obligations hereunder, except as already set forth under this Agreement.",high,Original Corporate,Anti-Assignment,False
This Agreement shall take effect as of the date when the authorized representatives of the Parties sign hereon.,low,Original Corporate,Effective Date,False
